Title,Link,Author,Abstract,Item Type,Subjects,OfficalLink,Divisions,year
Ứng dụng bộ lọc kalman trong việc xử lý tín hiệu thu được từ cảm biến đo nồng độ bụi SHARP GP2Y1010AU0F,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3654/,"Trinh, Tuan DuongNguyen, Ngoc LinhPhD Ngoc Linh Nguyen","Bài báo trình bày việc áp dụng thuật toán lọc Kalman trong việc xử lý tín hiệu thu thập được từ cảm biến đo nồng độ bụi Sharp GP2Y1010AU0F. Kết quả được kiểm chứng trên một hệ thống được thiết kế gồm: Một module có nhiệm vụ thu thập và biến đổi dữ liệu thu được từ cảm biến đo nồng độ bụi; một module có nhiệm vụ xử lý và lọc dữ liệu này nhờ bộ lọc Kalman, rồi gửi dữ liệu lên máy tính thông qua giao tiếp RS232. Hai module giao tiếp không dây với nhau bằng sóng vô tuyến 2.4 GHz. This paper presents the application of using Kalman filtering to filter the data which collected from Sharp GP2Y1010AU0F dust level sensor. A real system combined by two modules communicating with each other through a 2.4 GHz radio frequency line is designed to apply the method. One module collects and transforms data while the other one filters data with a Kalman filter then transfers this data to PC.",Article,"Electronics and Communications > Electronics and Computer Engineering
Information Technology (IT)",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3654/1/Ung%20dung%20bo%20loc%20Kalman%20trong%20xu%20ly%20tin%20hieu%20thu%20duoc%20tu%20cam%20bien%20nong%20do%20bui%20SHARP%20GP2Y1010AU0F.pdf,Faculty of Engineering Mechanics and Automation (FEMA),2019
Hệ thống báo cháy nhanh qua internet sử dụng giao thức truyền dữ liệu hai chiều (websocket).,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3871/,Nguyen Pham Dinh,"In recent years, along with the general development of economy and society, the situation of fire and explosion has also occurred more and more complicatedly. There are many solutions to minimize the damage of fire, one of which is to improve the efficiency of receiving and sending fire alarms. Many companies and researcher have developed fire alarm systems from central fire alarm box via the internet to firefighting office, but the above solutions have some disadvantages such as: delay in sending fire alarms, high cost, complicated use process for soldiers who receive fire alarms…. This research proposes a solution to design and develop fire alarm system via the Internet using Websocket protocol. Websocket is a new protocol that has many advantages such as: high speed, low data transmission, easy programming, deployment and good security. This research also uses Android phones as communication devices, this is a new ideal, which can help users to be proactive in selecting devices and reducing product costs. In addition, the research also develop the fire alarm management with many features, aiming to deploy a comprehensive and comprehensive system on the whole country",Patent,Engineering Physics,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3871/1/GPHI.jpg,Key Laboratory for Nanotechnology (Nano Lab),2019
THIẾT KẾ VÀ XÂY DỰNG HỆ THỐNG BÁO CHÁY NHANH QUA INTERNET SỬ DỤNG GIAO THỨC WEBSOCKET DESIGN AND DEVELOP QUICK FIRE ALARM SYSTEM ON INTERNET BY USING WEBSOCKET PROTOCOL,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3869/,"Vu, Nguyen ThucDang, Tuan TuNguyen Pham Dinh","Trong những năm qua cùng với sự phát triển chung của kinh tế, xã hội thì tình hình cháy nổ cũng xảy ra nhiều hơn và có diễn biến ngày càng phức tạp. Có nhiều giải pháp để hạn chế tối đa những thiệt hại do cháy nổ ra gây ra, một trong số đó là nâng cao hiệu quả của việc tiếp nhận và gửi tin báo cháy. Nhiều nhà nghiên cứu và công ty đã phát triển các hệ thống truyền tin báo cháy từ tủ trung tâm qua mạng internet đến trung tâm tiếp nhận tin báo cháy của cảnh sát Phòng cháy chữa cháy và cứu hộ cứu nạn (PCCC & CNCH). Tuy nhiên, các giải pháp trên vẫn còn những nhược điểm như: có độ trễ khi gửi tin báo cháy qua internet, chi phí cao, quá trình sử dụng còn phức tạp với cán bộ chiến sĩ tiếp nhận tin báo cháy…. Nghiên cứu này đề xuất giải pháp thiết kế và xây dựng hệ thống báo cháy nhanh qua internet bằng giao thức Websocket. Websocket là giao thức mới được phát triển có nhiều ưu điểm như: tốc độ nhanh, dữ liệu truyền ít, dễ lập trình, triển khai và bảo mật tốt. Nghiên cứu này cũng sử dụng điện thoại Android làm thiết bị truyền tin. Đây là hướng đi mới, có thể giúp người dùng chủ động trong việc lựa chọn thiết bị và giảm giá thành sản phẩm. Ngoài ra, nghiên cứu cũng xây dựng hệ thống quản lý và tiếp nhận tin báo cháy với nhiều tính năng vượt trội hướng đến triển khai hệ thống đồng bộ, toàn diện trên địa bản cả nước.",Article,Engineering Physics,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3869/1/ChungNhan.jpg,Key Laboratory for Nanotechnology (Nano Lab),2019
Ứng dụng công nghệ GNSS-R (Phản xạ GNSS) để phát hiện các sự kiện thuỷ văn cực đoan (ví dụ cơn bão Xynthia năm 2010 tại Pháp),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3692/,"Vu, Phuong LanHa, Minh CuongDdinh, Thi Bao HoaNguyen, Thi Thuy HangBui, Quang ThanhPham, Van ManhPham, Vu DongPhD Minh Cuong HA","In this study, 3 months of records (January-March 2010) acquired by a geodetic GNSS station from the permanent network of RGP (Réseau GNSS Permanent), located in SCOA station, in the south of the Bay of Biscay to identify the Xynthia storm (hit the French Atlantic coast on February 28, 2010). This storm causing large floods and damages for the Gironde estuary. The separation of the tide components and the identification of Xynthia storm was achieved using the Interference Pattern Technique (IPT), a singular spectrum analysis (SSA) and a continuous wavelet transform (CWT).",Book Section,Aerospace Engineering,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3692/1/Vu%20Phuong%20Lan_HUS_paper%20GIS%202019.pdf,School of Aerospace Engineering (SAE),2019
A study on electrical parameters of interdigitated array electrodes (IDEAS) sensor for concentration measurement of phosphate-buffered saline,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3845/,"Vu, Quoc TuanBui, Thanh TungChu, Duc TrinhBùi Thanh Tùng","Capacitive sensors based on interdigitated array electrodes (IDAEs) integrated into microfluidic channels have been developed for many bioanalysis applications due to its advantages in comparison with electrochemical sensors. In this study, an IDEAs capacitive sensor has been proposed, fabricated and characterized. The IDEA structure is fabricated in a 100 μm-width microfluidic channel using micromachining technology. Electrical impedance spectroscopy measurements of the sensor have been carried out in a wide frequency range from 10 kHz to 1 MHz. Performance of the IDEAs sensor has been demostrated through sensing the concentration of the phosphate buffer saline (PBS) which is fully filled in the microchannel. The obtained results show a linear relationship between the measured conductance and concentration of PBS solution, demonstrating the possibility of estimating conductance of the solution through the total impedance.",Conference or Workshop Item (Lecture),Electronics and Communications > Electronics and Computer Engineering,,"Center for Electronics and Telecommunications Research (CETR)
Faculty of Electronics and Telecommunications (FET)",2019
High-Frequency Interdigitated Array Electrode-Based Capacitive Biosensor for Protein Detection,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3847/,"Vu, Quoc TuanNguyen, Ngoc VietBui, Thanh TungJen, Chun-PingChu, Duc TrinhBùi Thanh Tùng","This paper reports a study on developing of a protein detection biochip based on interdigitated array electrodes (IDAEs) capacitive immunosensor. The protein after being preconcentrated in a detection region will be selectively captured and detected by the capacitive immunosensor. Using electrical impedance spectroscopy operated at high-frequency in the range of 100 kHz–1 MHz, the capacitance of the gold electrode is determined and the antibody surface modification steps can be also monitored. The experiment results show the capacitance changes in accordance with the adding biochemical layer on gold electrodes for each step of the antibody surface modification. In particular, the total impedance operated at 1 MHz frequency has been seen to change from 2.1 kΩ of bare chip (before antibody surface modification) to 8 kΩ after antibody surface modification process while the serial capacitance is recorded to reduce steadily from 450 pF to 55 pF. Also, the efficiency of protein chip was investigated by implementing the measurement of 10 µM BSA with and without preconcentration process. The measurement results have shown the sensitivity increasing significantly after the protein is preconcentrated in this chip. The results demonstrate high efficiency of protein detection can be achieved by operating high frequency capacitive measurement on IDAEs capacitive immunosensor.",Article,ISI-indexed journals,https://link.springer.com/journal/13206,"Center for Electronics and Telecommunications Research (CETR)
Faculty of Electronics and Telecommunications (FET)",2019
A Framework for Ridesharing Recommendation Services,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3749/,"Vu, Thi Hong NhanVÅ© Thá»� H",,Conference or Workshop Item (Paper),Information Technology (IT),,Faculty of Information Technology (FIT),2019
Adaptive Large Neighborhood Search Enhances Global Protein-Protein Network Alignment,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3508/,"Vu, Thi Ngoc AnhNguyen, Trong DongNguyen, Vu Hoang VuongDang, Thanh HaiDo, Duc DongThanh Hải Đặng",,Article,Information Technology (IT),,Faculty of Information Technology (FIT),2019
Wireless Power Transfer Through Metal Using Inductive Link,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3464/,"Vu, Tuan AnhPham, Van ChiPham, Anh VuGardner, ChristopherVu Tuan Anh","This paper presents a highly efficient power transfer system based on a co-design of a class-E power amplifier (PA) and a pair of inductively coupled Helical coils for through-metal-wall power transfer. Power is transferred wirelessly through a 3.1-mm thick aluminum barrier without any physical penetration and contact. Measurement results show that the class-E PA achieves a peak power gain of 25.2 dB and a maximum collector efficiency of 57.3%, all at 200 Hz. The proposed system obtains a maximum power transfer efficiency of 9% and it can deliver 5 W power to the receiver side through the aluminum barrier.",Article,Scopus-indexed journals,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3464/1/Power_amplifier.pdf,Faculty of Electronics and Telecommunications (FET),2019
Full-Duplex Enabled Mobile Edge Caching: From Distributed to Cooperative Caching,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3593/,"Vu, Xuan ThangChatzinotas, SymeonOttersten, Bj¨ornTrinh, Anh VuTrá»�nh Anh VÅ©","Mobile edge caching (MEC) has received much attention as a promising technique to overcome the stringent latency and data hungry requirements in the future generation wireless networks. Meanwhile, full-duplex (FD) transmission can potentially double the spectral efficiency by allowing a node to receive and transmit simultaneously. In this paper, we investigate the delivery time performance of full-duplex enabled MEC (FDMEC) systems, in which the users are served by distributed edge nodes (ENs), which operate in FD mode and are equipped with a limited storage memory. Firstly, we analyse the FD-MEC with different levels of cooperation among the ENs and take into account the realistic model of self-interference cancellation. Secondly, we propose a framework to minimize the system delivery time of FD-MEC under both linear and optimal precoding designs. Thirdly, to deal with the non-convexity of the formulated problems, two iterative optimization algorithms are proposed based on the inner approximation method, whose convergence is analytically guaranteed. Finally, the effectiveness of the proposed designs are demonstrated via extensive numerical results. It is shown that the cooperative scheme mitigates inter-user and self interference significantly better than the distributed scheme at the expense of inter-EN cooperation. In addition, we show that minimum mean square error (MMSE)-based precoding design achieves the best performance-complexity trade-off, compared with the zero-forcing and optimal designs.",Article,"Electronics and Communications > Communications
Electronics and Communications
Scopus-indexed journals
ISI-indexed journals",https://www.comsoc.xn--org%20%20publications%20%20journals%20%20ieee-twc-bs54asao/,Faculty of Electronics and Telecommunications (FET),2019
Improving performance of distributed video coding by consecutively refining of side information and correlation noise model,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4027/,"Vu Huu, TienNguyen thi huong, thaoNguyen ngoc, MinhHoang, Van XiemDr. Xiem HoangVan","Distributed video coding (DVC) is built on distributed source coding (DSC) principles where the video statistics are exploited, partly or fully, at the decoder instead of the encoder. In theory, DVC scheme is proved that there is no performance loss when compared to predictive video coding. However, its practical implementation has a large gap to achieve the theoretically optimum performance. The DVC coding efficiency depends mainly on creating the side information (SI) - a noisy version of original Wyner-Ziv frame (WZF) at the decoder, and modeling the correlation noise - the difference between the original WZF and corresponding SI. Performance of the DVC scheme will be improved if the SI and correlation noise are estimated as accurately as possible. So, this paper proposes a method to enhance the quality of SI and also correlation noise model by using information in decoded WZFs during the decoding …",Conference or Workshop Item (Lecture),"Electronics and Communications
Electronics and Communications > Electronics and Computer Engineering",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4027/1/ISCIT%202019_revised.pdf,Faculty of Electronics and Telecommunications (FET),2019
On The Successful Delivery Probability of Full-Duplex Enabled Mobile Edge Caching,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3482/,"Vu Xuan, ThangLei, LeiChatzinotas, SymeonOttersten, Bj¨ornTrinh Anh, VuTrá»�nh Anh VÅ©","Cache hit ratio (CHR) is a common metric to evaluate the performance of an edge caching system. While CHR is efficient to measure throughput reduction gain, it fails to guarantee user quality of experience since CHR does not capture the last-mile channel uncertainty. In this letter, we investigate a novel successful delivery probability (SDP) metric of full-duplex enabled mobile edge caching (FD-MEC) systems, defined as a probability that the user receives the requested file before a tolerable delay. Firstly, the average SDP is derived in a closed-form expression for arbitrary caching policy and network topology, taking into account the wireless fading distribution. Secondly, based on the derived SDP, a sub-optimal cache placement is proposed to maximize the average SDP, which is analytically shown to surpass both the most popular and uniform caching policies. Finally numerical results are presented to verify the accuracy of our analysis and demonstrate the effectiveness of our proposed cache placement design.",Article,"Electronics and Communications > Communications
Electronics and Communications
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3482/1/CL.pdf,Faculty of Electronics and Telecommunications (FET),2019
Linear Precoding Design for Cache-aided Full-duplex Networks,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3481/,"Vu Xuan, ThangTrinh Anh, VuLei, LeiChatzinotas, SymeonOttersten, Bj¨ornTrá»�nh Anh VÅ©","Edge caching has received much attention as a promising technique to overcome the stringent latency and data hungry challenges in the future generation wireless networks. Meanwhile, full-duplex (FD) transmission can potentially double the spectral efficiency by allowing a node to receive and transmit simultaneously. In this paper, we study a cache-aided FD system via delivery time analysis and optimization. In the considered system, an edge node (EN) operates in FD mode and serves users via wireless channels. Two optimization problems are formulated to minimize the largest delivery time based on the two popular linear beamforming zero-forcing and minimum mean square error designs. Since the formulated problems are non-convex due to the self-interference at the EN, we propose two iterative optimization algorithms based on the inner approximation method. The convergence of the proposed iterative algorithms is analytically guaranteed. Finally, the impacts of caching and the advantages of the FD system over the half-duplex (HD) counterpart are demonstrated via numerical results.",Conference or Workshop Item (Paper),Electronics and Communications > Communications,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3481/1/WCNC%204-2019.pdf,Faculty of Electronics and Telecommunications (FET),2019
Formal Specification and Model Checking of Some Variants of Anderson Mutual Exclusion Protocol,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3739/,"Vuong, Thi Hai YenVÆ°Æ¡ng Thá»� Háº£i Yáº¿n",,Technical Report (Technical Report),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3739/1/rev_paper.pdf,Faculty of Information Technology (FIT),2019
Learning to Transform Vietnamese Natural Language Queries into SQL Commands,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3663/,"Vuong, Thi Hai YenNguyen, Thi Thu TrangTran, Nhu ThuatNguyen, Le MinhPhan, Xuan HieuA/Prof. Xuan Hieu Phan","In the field of data management, users traditionally manipulates their data using structured query language (SQL). However, this method requires an understanding of relational database, data schema, and SQL syntax as well as the way it works. Database manipulation using natural language, therefore, is much more convenient since any normal user can interact with their data without a background of database and SQL. This is, however, really tough because transforming natural language commands into SQL queries is a challenging task in natural language processing and understanding. In this paper, we propose a novel two–phase approach to automatically analyzing and converting natural language queries into the corresponding SQL forms. In our approach, the first phase is component segmenta- tion which identifies primary clauses in SQL such as SELECT, FROM, WHERE, ORDER BY, etc. The second phase is slot– filling that helps extract sub–components for each primary clause such as SELECT column(s), SELECT aggregation operation, etc. We carefully conducted an empirical evaluation for our method using conditional random fields (CRFs) on a medium– sized corpus of natural language queries in Vietnamese, and have achieved promising results with an average accuracy of more than 90%.",Conference or Workshop Item (Paper),Information Technology (IT),,Faculty of Information Technology (FIT),2019
An Adversarial Learning and Canonical Correlation Analysis based Cross-Modal Retrieval Model,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2961/,"Vuong, Thi HongPham, Thanh HuyenNguyen, Tri ThanhHa, Quang ThuyAss. Prof. Tri-Thanh NGUYEN",An Adversarial Learning and Canonical Correlation Analysis based Cross-Modal Retrieval Model,Conference or Workshop Item (Paper),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2961/1/ACIIDS_2019_version4_update.pdf,Faculty of Information Technology (FIT),2019
Sharing Experience in Multitask Reinforcement Learning,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3742/,"Vuong, Tung LongNguyen, Do VanNguyen, Tai LongBui, Cong MinhKieu, Hai DangTa, Viet CuongTran, Quoc LongLe, Thanh HaLê Thanh Hà",,Conference or Workshop Item (Paper),Information Technology (IT),,Faculty of Information Technology (FIT),2019
Crack Detection Using Enhanced Hierarchical Convolutional Neural Networks,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3850/,"Zhu, QiuchenPhung, Manh DuongQuang, HaDr Manh Duong Phung","Unmanned aerial vehicles (UAV) are expected to replace human in hazardous tasks of surface inspection due to their flexibility in operating space and capability of collecting high quality visual data. In this study, we propose enhanced hierarchical convolutional neural networks (HCNN) to detect cracks from image data collected by UAVs. Unlike traditional HCNN, here a set of branch networks is utilised to reduce the obscuration in the down-sampling process. Moreover, the feature preserving blocks combine the current and previous terms from the convolutional blocks to provide input to the loss functions in order to reduce the weight of resized images and thus minimise the information loss. Experiments on images of different crack datasets have been carried out to demonstrate the effectiveness of the proposed HCNN.",Conference or Workshop Item (Paper),"Electronics and Communications
Electronics and Communications > Electronics and Computer Engineering",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3850/1/pap104s1-file1.pdf,Faculty of Electronics and Telecommunications (FET),2019
Định vị robot di động trong nhà dựa trên tín hiệu WiFi,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3833/,"Đỗ, Hải SơnTrần, Đức MạnhTrần, Thị Thúy QuỳnhThi Thuy Quynh Tran","Định vị là bài toán quan trọng đối với robot di động. Bài báo trình bày một số kết quả nghiên cứu về việc định vị robot di động trong nhà dựa trên tín hiệu WiFi. Phương pháp định vị sử dụng nhận dạng dấu hiệu cường độ tín hiệu WiFi so với cơ sở dữ liệu ban đầu (Finger Printing). Với không gian định vị là hành lang thẳng dài 20m, hai thuật toán được sử dụng trong định vị là cực tiểu hóa khoảng cách Euclide và học máy SVM với độ chính xác tương ứng đạt được là 6,33 cm và 13,21 cm với tỷ lệ thành công 27,5%",Conference or Workshop Item (Paper),Electronics and Communications,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3833/1/paper.pdf,Faculty of Electronics and Telecommunications (FET),2019
AniAge Ontology for Movement Classification in Vietnamese Dance,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3045/,"Abdelmoutia, TelliMa, Thi ChauMustapha, BourahlaKarim, TabiaSalem, BenferhatMa Thá»� ChÃ¢u","This paper proposes an OWL ontology called \AniAge"", to define taxonomy of dance movement classes and their relationships for the traditional Vietnamese dance taking into account the semantics of its art and its cultural anthropologists. The \AniAge"" terminology can be used to describe elementary movements (poses) as a dataset ontology importing \AniAge"". These poses are results of dance sequences segmentation (using segmentation techniques). The ontolgy \AniAge"" is supported by classification rules, which are developed with the OWL complementary language SWRL (Semantic Web Rule Language) to entail movement phrases, which are basic movements with complete meaning. The dataset ontology containing poses descriptions can be queried using the query language SQWRL (Semantic Query Webenhanced Rule Language), which is extension of SWRL to retrieve implicit dance knowledge. Then, the query answers can be used for computer animation.",Conference or Workshop Item (Paper),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3045/1/Dance.pdf,Faculty of Information Technology (FIT),2018
"Through electrode, manufacturing method thereof, and semiconductor device and manufacturing method thereof",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3017/,Bùi Thanh Tùng,"Provided are a through electrode including an organic side-wall insulating film, capable of eliminating a barrier layer and achieving satisfactory mechanical reliability and electrical reliability and a manufacturing method thereof, and a semiconductor device and a manufacturing method thereof. According to one aspect of the present invention, a through electrode disposed in a semiconductor substrate is provided, including: a copper layer in the semiconductor substrate; and a side-wall insulating film that is disposed between the copper layer and the semiconductor substrate so as to be in contact with the copper layer and the semiconductor substrate, the side-wall insulating film being represented by the following chemical formula (1).",Patent,"Electronics and Communications
Electronics and Communications > Electronics and Computer Engineering",https://patents.google.com/patent/US9984956B2/en,Faculty of Electronics and Telecommunications (FET),2018
Utilizing Adaptive Dynamic Taylor Kriging Assisted Multi-Objective DE Algorithm for Optimization Design of Electromagnetic Device,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3251/,"Bin, XiaPham, Minh TrienZhang, YanliKoh, Chang SeopDr Minh Trien Pham","A multi-objective global optimization strategy is de- veloped by incorporating an adaptive dynamic Taylor Kriging (ADTK) into an improved multi-objective differential evolution algorithm (MODE) to achieve a numerically efficient multi- objective optimization algorithm. The basis functions of the ADTK are optimally, adaptively and dynamically selected so that the Kriging model may have better accuracy than any other Kriging model, and the MODE has an improved mutation algo- rithm.",Conference or Workshop Item (Paper),Electronics and Communications,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3251/1/1-ADTK_DE.pdf,Faculty of Electronics and Telecommunications (FET),2018
Accuracy of semi-automated versus manual localization of liver tumors in CT-guided ablation procedures,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2951/,"Boulkhrif, HassanLuu, Manh HaMoelker, AdriaanWalsum, Theo vanLưu Mạnh Hà",,Article,Electronics and Communications > Electronics and Computer Engineering,,"Faculty of Electronics and Telecommunications (FET)
Advanced Insitute of Engineering and Technology (AVITECH)",2018
Design Optimization of an Anisotropic Magnetoresistance Sensor for Detection of Magnetic Nanoparticles,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3346/,"Bui, Dinh TuLe, Khac QuynhNguyen, Huu DucDo, Thi Huong GiangPhung, Anh TuanTran, Thi DungCao, Viet AnhDinh Tu Bui","Recent studies have shown that the magnetic field sensitivity of an anisotropic magnetoresistance (AMR) sensor using a single-layer Ni80Fe20 thin film can be considerably improved by increasing the shape anisotropy of the film. In this work, an effective approach for improving the sensitivity and reducing the magnetic coercive field as well as the thermal noise contribution in an AMR Wheatstone bridge sensor is proposed by combining multiple resistors in the series–parallel combination circuits. Four different AMR sensor designs, consisting of a single resistor, three and five resistors in series and six resistors in series–parallel connection, were fabricated by using Ta (10 nm)/Ni80Fe20 (5 nm)/Ta (10 nm) films grown on thermally oxidized Si substrates under the presence and the absence of a biasing magnetic field (900 Oe). The results showed that the sensors based on series–parallel combination gain a magnetic sensitivity (SH) 1.72 times higher than that of the sensor based on the series connection. This optimized sensor has improved the capacity of detecting various oncentrations of magnetic nanoparticles with a detection limit of magnetic moments estimated to be about 0.56 microemu",Article,Engineering Physics,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3346/1/10.1007_s11664-018-6822-4.pdf,Faculty of Engineering Physics and Nanotechnology (FEPN),2018
Aerial Image Semantic Segmentation Using Neural Search Network Architecture,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3264/,"Bui, Duc ThinhNguyen, Do VanNguyen, Thi Thu ThuyTran, Quoc LongLe, Thanh HaLong Trần Quốc","In remote sensing data analysis and computer vision, aerial image segmentation is a crucial research topic, which has many appli- cations in environmental and urban planning. Recently, deep learning is using to tackle many computer vision problem, including aerial image segmentation. Results have shown that deep learning gains much higher accuracy than other methods on many benchmark data sets. In this work, we propose a neural network called NASNet-FCN, which based on Fully Convolutional Network - a frame work for solving semantic segmenta- tion problem and image feature extractor derived from state-of-the-art object recognition network called Neural Search Network Architecture. Our networks are trained and judged by using benchmark dataset from ISPRS Vaihingen challenge. Results show that our methods achieved state-of-the-art accuracy with potential improvements.",Conference or Workshop Item (Paper),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3264/1/Thinh_miwai_0703_paper.pdf,Faculty of Information Technology (FIT),2018
A novel similarity measure for trace clustering based on normalized google distance.,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3160/,"Bui, Hong NhungHa, Quang ThuyNguyen, Tri ThanhHà Quang Thụy","In trace clustering, a problem of process mining, traditional distance measures only focus on the local relationship between trace pairs. In this paper, we propose a new method to measure the global relationship of the traces based on the Normalized Google Distance. Experimental results show that our method not only outperforms alternatives but also helps to speed up the trace clustering.",Article,"Information Technology (IT)
Scopus-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3160/1/18_9_An%20novel%20similarity%20measure%20for%20trace%20clustering%20based%20on%20Normalized%20Google%20Distance.pdf,Faculty of Information Technology (FIT),2018
A New Trace Clustering Algorithm Based on Context in Process Mining,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3159/,"Bui, Hong NhungNguyen, Tri ThanhNguyen, Thi ChamHa, Quang ThuyHà Quang Thụy","In process mining, trace clustering is an important technique that at-tracts the attention of researchers to solve the large and complex volume of event logs. Traditional trace clustering often uses available data mining algorithms which do not exploit the characteristic of processes. In this study, we propose a new trace clustering algorithm, especially for the process mining, based on the using trace context. The proposed clustering algorithm can automatic detects the number of clusters, and it does not need a convergence iteration like traditional ones like K-means. The algorithm takes two loops over the input to generate the clusters, thus the complexity is greatly reduced. Experimental results show that our method also has good results when compared to traditional methods.",Book Section,Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3159/1/18_02__Book_RoughSets.pdf,Hà Quang Thụy,2018
A Closed Device to Generate Vortex Flow Using PZT,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3302/,"Bui, Phong NhuDinh, Thien XuanPhan, Hoa ThanhTran, Canh DungBui, Thanh TungDau, Van ThanhBùi Thanh Tùng",,Conference or Workshop Item (Lecture),"Electronics and Communications
Electronics and Communications > Electronics and Computer Engineering",http://doi.org/10.1109/NEMS.2018.8556981,"Center for Electronics and Telecommunications Research (CETR)
Faculty of Electronics and Telecommunications (FET)",2018
A Toolchain for Source Code Quality Assurance of Java EE Applications,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3202/,"Bui, Quang CuongDinh, Tien LocLuu, Anh VietNguyen, Viet HoaPham, Ngoc QuyPham, Ngoc HungPháº¡m Ngá»�c HÃ¹ng",,Technical Report (Technical Report),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3202/1/CuongBQ_tech-report-final.pdf,Faculty of Information Technology (FIT),2018
Enhancing Performance of Lexical Entailment Recognition for Vietnamese based on Exploiting Lexical Structure Features,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3407/,"Bui, Van TanNguyen, Phuong ThaiNgyá»�n PhÆ°Æ¡ng ThÃ¡i","The lexical entailment recognition problem aims to identify the is-a relation between words. The problem has recently been receiving research attention in the natural language processing field. In this study, we propose a novel method (VLER) for this problem on Vietnamese. For this purpose, we first exploit such lexical structure information of words as a feature, then combine this feature with vectors representation of words such as a unique feature for recognizing the relation. Moreover, we applied a number of methods based on word embedding and supervised learning, experimental results showed that our method achieves the best performance in the hypernymy detection task than other methods in terms of accuracy.",Conference or Workshop Item (Paper),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3407/1/KSE%202018%20%284%29.pdf,Faculty of Information Technology (FIT),2018
